epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59445,0.96613,3.25924,1.39925,0.00558,0.9,0.24663,0.16203,0.80596,3.8468,1.36135,0,0,0
2,6.99575,1.09751,3.34823,1.534,0.00588,0.9,0.24717,0.1601,0.79233,3.82651,1.34785,1.23763e-05,1.23763e-05,1.23763e-05
3,10.3472,1.07233,3.37428,1.46636,0.00609,0.9,0.25102,0.16181,0.76528,3.78861,1.34012,2.4505e-05,2.4505e-05,2.4505e-05
4,13.6055,1.03811,3.21246,1.41143,0.00657,0.9,0.23022,0.16284,0.73651,3.79347,1.32817,3.63862e-05,3.63862e-05,3.63862e-05
5,16.9391,0.94657,3.18708,1.3793,0.00694,0.9,0.22451,0.16366,0.70649,3.78314,1.30212,4.802e-05,4.802e-05,4.802e-05
6,20.1609,0.88229,3.20189,1.31145,0.00731,0.9,0.24946,0.17653,0.69242,3.75302,1.28942,5.94062e-05,5.94062e-05,5.94062e-05
7,23.4075,1.04078,3.21042,1.51086,0.00835,0.95,0.28468,0.19821,0.64064,3.75592,1.25165,7.0545e-05,7.0545e-05,7.0545e-05
8,26.6919,0.91356,3.12657,1.36444,0.00815,0.95,0.33001,0.23588,0.6167,3.73705,1.21797,8.14362e-05,8.14362e-05,8.14362e-05
9,29.9565,0.91064,3.10349,1.38591,0.0078,0.95,0.39407,0.28647,0.57092,3.72913,1.1812,9.208e-05,9.208e-05,9.208e-05
10,33.1976,0.91931,3.10002,1.34149,0.00743,0.95,0.37118,0.28353,0.50868,3.68698,1.14512,0.000102476,0.000102476,0.000102476
11,36.4308,0.8779,3.06443,1.36425,0.00791,0.95,0.37843,0.29726,0.49632,3.68271,1.1237,0.000112625,0.000112625,0.000112625
12,39.6845,0.87822,3.04123,1.38335,0.00815,0.95,0.41468,0.32925,0.49195,3.6778,1.10856,0.000122526,0.000122526,0.000122526
13,42.9422,0.7524,2.89331,1.24259,0.00862,0.95,0.41128,0.32112,0.49565,3.69244,1.1035,0.00013218,0.00013218,0.00013218
14,46.2387,0.67954,3.05085,1.26933,0.00911,0.95,0.43377,0.34348,0.49822,3.67404,1.08571,0.000141586,0.000141586,0.000141586
15,49.5292,0.6823,2.80885,1.18334,0.01007,0.95,0.44032,0.34703,0.49269,3.67015,1.06909,0.000150745,0.000150745,0.000150745
16,52.7594,0.72142,2.82705,1.1725,0.01102,0.95,0.44802,0.34218,0.48722,3.67164,1.04705,0.000159656,0.000159656,0.000159656
17,55.9968,0.88251,2.81836,1.33849,0.01238,0.95,0.4438,0.34569,0.49179,3.66444,1.03825,0.00016832,0.00016832,0.00016832
18,59.1996,0.61397,2.65906,1.08871,0.01238,0.95,0.4438,0.34569,0.49179,3.66444,1.03825,0.000176736,0.000176736,0.000176736
19,62.4614,0.67279,2.64045,1.15059,0.01399,0.95,0.47002,0.37462,0.46703,3.64509,1.00634,0.000184905,0.000184905,0.000184905
20,65.6694,0.63481,2.62033,1.13302,0.01399,0.95,0.47002,0.37462,0.46703,3.64509,1.00634,0.000192826,0.000192826,0.000192826
21,68.9446,0.80358,2.68058,1.28618,0.01566,0.95,0.56881,0.48126,0.42999,3.60679,0.95776,0.0002005,0.0002005,0.0002005
22,72.1777,0.64403,2.46201,1.17362,0.01566,0.95,0.56881,0.48126,0.42999,3.60679,0.95776,0.000207926,0.000207926,0.000207926
23,75.4708,0.77487,2.61286,1.25179,0.01543,0.95,0.66692,0.57517,0.41408,3.59244,0.94049,0.000215105,0.000215105,0.000215105
24,78.7053,0.64744,2.41391,1.10715,0.01543,0.95,0.66692,0.57517,0.41408,3.59244,0.94049,0.000222036,0.000222036,0.000222036
25,81.9487,0.66055,2.47736,1.18575,0.01551,0.95,0.70644,0.62442,0.40393,3.56882,0.93695,0.00022872,0.00022872,0.00022872
26,85.1821,0.61691,2.35401,1.1055,0.01551,0.95,0.70644,0.62442,0.40393,3.56882,0.93695,0.000235156,0.000235156,0.000235156
27,88.5481,0.64054,2.41052,1.14949,0.01459,0.95,0.76579,0.67343,0.43639,3.55088,0.94889,0.000241345,0.000241345,0.000241345
28,91.7808,0.51573,2.36491,1.11772,0.01459,0.95,0.76579,0.67343,0.43639,3.55088,0.94889,0.000247286,0.000247286,0.000247286
29,95.0812,0.72739,2.19056,1.12008,0.01392,0.95,0.81603,0.71777,0.46494,3.53905,0.96744,0.00025298,0.00025298,0.00025298
30,98.3967,0.82247,2.16097,1.243,0.01392,0.95,0.81603,0.71777,0.46494,3.53905,0.96744,0.000258426,0.000258426,0.000258426
31,101.724,0.55079,2.1214,1.07984,0.01401,0.95,0.85062,0.76811,0.46276,3.51885,0.96407,0.000263625,0.000263625,0.000263625
32,104.968,0.71736,2.18557,1.2732,0.01401,0.95,0.85062,0.76811,0.46276,3.51885,0.96407,0.000268576,0.000268576,0.000268576
33,108.248,0.68933,2.18353,1.20023,0.01364,0.95,0.86271,0.78418,0.43909,3.49052,0.94559,0.00027328,0.00027328,0.00027328
34,111.457,0.74564,2.12952,1.21919,0.01364,0.95,0.86271,0.78418,0.43909,3.49052,0.94559,0.000277736,0.000277736,0.000277736
35,114.684,0.62077,1.8717,1.1324,0.01245,0.95,0.83207,0.76969,0.4255,3.49188,0.96851,0.000281945,0.000281945,0.000281945
36,117.92,0.77528,1.92941,1.23305,0.01245,0.95,0.83207,0.76969,0.4255,3.49188,0.96851,0.000285906,0.000285906,0.000285906
37,121.144,0.61597,2.03445,1.13052,0.01098,0.95,0.821,0.70164,0.48498,3.51915,1.03939,0.00028962,0.00028962,0.00028962
38,124.35,0.61781,1.90987,1.08527,0.01098,0.95,0.821,0.70164,0.48498,3.51915,1.03939,0.000293086,0.000293086,0.000293086
39,127.591,0.65133,1.86781,1.13332,0.01063,0.95,0.87289,0.73973,0.51769,3.50475,1.08968,0.000296305,0.000296305,0.000296305
40,130.81,0.68743,1.81583,1.11623,0.01063,0.95,0.87289,0.73973,0.51769,3.50475,1.08968,0.000299276,0.000299276,0.000299276
41,134.068,0.56357,1.76529,1.09541,0.0107,0.95,0.89388,0.75137,0.50863,3.47898,1.0906,0.000302,0.000302,0.000302
42,137.392,0.60101,1.62252,1.04342,0.0107,0.95,0.89388,0.75137,0.50863,3.47898,1.0906,0.000304476,0.000304476,0.000304476
43,140.666,0.69471,1.59921,1.09362,0.01055,0.95,0.88962,0.76824,0.51351,3.46033,1.08681,0.000306705,0.000306705,0.000306705
44,143.858,0.68176,1.62383,1.16342,0.01055,0.95,0.88962,0.76824,0.51351,3.46033,1.08681,0.000308686,0.000308686,0.000308686
45,147.091,0.68223,1.9348,1.17974,0.01138,0.95,0.89856,0.75239,0.4931,3.43829,1.07507,0.00031042,0.00031042,0.00031042
46,150.305,0.63202,1.54052,1.1356,0.01138,0.95,0.89856,0.75239,0.4931,3.43829,1.07507,0.000311906,0.000311906,0.000311906
47,153.601,0.6823,1.47508,1.16927,0.01434,0.95,0.90765,0.80852,0.45904,3.42636,1.03856,0.000313145,0.000313145,0.000313145
48,156.84,0.44643,1.41273,0.99474,0.01434,0.95,0.90765,0.80852,0.45904,3.42636,1.03856,0.000314136,0.000314136,0.000314136
49,160.136,0.56228,1.61976,1.09718,0.01452,0.95,0.8804,0.7954,0.48287,3.43258,1.03655,0.00031488,0.00031488,0.00031488
50,163.348,0.56291,1.37818,1.05289,0.01452,0.95,0.8804,0.7954,0.48287,3.43258,1.03655,0.000315376,0.000315376,0.000315376
51,166.656,0.65044,1.55175,1.13694,0.0135,0.95,0.77512,0.67813,0.49106,3.42307,1.02388,0.000315625,0.000315625,0.000315625
52,169.903,0.61773,1.52816,1.11775,0.0135,0.95,0.77512,0.67813,0.49106,3.42307,1.02388,0.000315626,0.000315626,0.000315626
53,173.322,0.58162,1.44602,1.0568,0.0135,0.95,0.77512,0.67813,0.49106,3.42307,1.02388,0.00031538,0.00031538,0.00031538
54,176.581,0.61967,1.35817,1.10724,0.01313,0.95,0.80761,0.70795,0.48129,3.41193,1.02118,0.000314886,0.000314886,0.000314886
55,179.803,0.67099,1.4078,1.14161,0.01313,0.95,0.80761,0.70795,0.48129,3.41193,1.02118,0.000314145,0.000314145,0.000314145
56,183.062,0.60447,1.47289,1.1242,0.01313,0.95,0.80761,0.70795,0.48129,3.41193,1.02118,0.000313156,0.000313156,0.000313156
57,186.295,0.68641,1.48651,1.16131,0.01326,0.95,0.87261,0.78093,0.47852,3.3755,1.02322,0.00031192,0.00031192,0.00031192
58,189.492,0.50364,1.34523,1.07354,0.01326,0.95,0.87261,0.78093,0.47852,3.3755,1.02322,0.000310436,0.000310436,0.000310436
59,192.706,0.53336,1.28514,1.0526,0.01326,0.95,0.87261,0.78093,0.47852,3.3755,1.02322,0.000308705,0.000308705,0.000308705
60,196.051,0.59107,1.46805,1.16795,0.01334,0.95,0.92427,0.83829,0.4573,3.29701,1.00722,0.000306726,0.000306726,0.000306726
61,199.274,0.58772,1.20835,1.00969,0.01334,0.95,0.92427,0.83829,0.4573,3.29701,1.00722,0.0003045,0.0003045,0.0003045
62,202.49,0.61333,1.3556,1.14102,0.01334,0.95,0.92427,0.83829,0.4573,3.29701,1.00722,0.000302026,0.000302026,0.000302026
63,205.721,0.54182,1.24148,1.05872,1,0.49078,0.9451,0.87991,0.40236,3.21117,0.95855,0.000299305,0.000299305,0.000299305
64,208.938,0.57635,1.42338,1.06712,1,0.49078,0.9451,0.87991,0.40236,3.21117,0.95855,0.000296336,0.000296336,0.000296336
65,212.168,0.58574,1.37792,1.09623,1,0.49078,0.9451,0.87991,0.40236,3.21117,0.95855,0.00029312,0.00029312,0.00029312
66,215.453,0.56376,1.32956,1.09103,1,0.36352,0.9451,0.9191,0.35851,3.09754,0.92336,0.000289656,0.000289656,0.000289656
67,218.687,0.57663,1.34027,1.09964,1,0.36352,0.9451,0.9191,0.35851,3.09754,0.92336,0.000285945,0.000285945,0.000285945
68,221.979,0.52043,1.25275,1.03409,1,0.36352,0.9451,0.9191,0.35851,3.09754,0.92336,0.000281986,0.000281986,0.000281986
69,225.321,0.52907,1.26465,1.00911,1,0.44661,0.94509,0.91055,0.36283,3.00848,0.94175,0.00027778,0.00027778,0.00027778
70,228.627,0.52327,1.18907,0.97876,1,0.44661,0.94509,0.91055,0.36283,3.00848,0.94175,0.000273326,0.000273326,0.000273326
71,231.906,0.60436,1.2267,1.10827,1,0.44661,0.94509,0.91055,0.36283,3.00848,0.94175,0.000268625,0.000268625,0.000268625
72,235.196,0.49666,1.19913,1.05997,1,0.52877,0.94509,0.89485,0.37386,2.91605,0.9614,0.000263676,0.000263676,0.000263676
73,238.453,0.50297,1.13925,1.0425,1,0.52877,0.94509,0.89485,0.37386,2.91605,0.9614,0.00025848,0.00025848,0.00025848
74,241.719,0.45315,1.14111,1.0121,1,0.52877,0.94509,0.89485,0.37386,2.91605,0.9614,0.000253036,0.000253036,0.000253036
75,245.009,0.49138,1.27078,1.07507,0.99082,0.8086,0.95158,0.89645,0.37171,2.82275,0.96567,0.000247345,0.000247345,0.000247345
76,248.211,0.52361,1.07947,1.05305,0.99082,0.8086,0.95158,0.89645,0.37171,2.82275,0.96567,0.000241406,0.000241406,0.000241406
77,251.424,0.50889,1.10718,1.03337,0.99082,0.8086,0.95158,0.89645,0.37171,2.82275,0.96567,0.00023522,0.00023522,0.00023522
78,254.656,0.60671,1.2244,1.09328,0.97581,0.8819,0.95636,0.90316,0.36268,2.71213,0.95954,0.000228786,0.000228786,0.000228786
79,257.91,0.46243,1.08593,1.05625,0.97581,0.8819,0.95636,0.90316,0.36268,2.71213,0.95954,0.000222105,0.000222105,0.000222105
80,261.144,0.56795,1.23094,1.03597,0.97581,0.8819,0.95636,0.90316,0.36268,2.71213,0.95954,0.000215176,0.000215176,0.000215176
81,264.444,0.53613,1.10571,1.02612,0.95865,0.90126,0.95971,0.90004,0.35659,2.61843,0.9503,0.000208,0.000208,0.000208
82,267.619,0.51838,1.12429,1.03521,0.95865,0.90126,0.95971,0.90004,0.35659,2.61843,0.9503,0.000200576,0.000200576,0.000200576
83,270.78,0.44566,1.09417,1.02634,0.95865,0.90126,0.95971,0.90004,0.35659,2.61843,0.9503,0.000192905,0.000192905,0.000192905
84,274.234,0.58122,1.22996,1.12337,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.000184986,0.000184986,0.000184986
85,277.657,0.44261,1.07234,1.02457,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.00017682,0.00017682,0.00017682
86,280.927,0.5062,1.16804,1.08577,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.000168406,0.000168406,0.000168406
